# Korpus porownan wersji. Kolumny: rodzaj, wersja A, wersja B, oczekiwany
# wynik (-1 gdy A < B, 0 gdy rowne, 1 gdy A > B).
#
# Ten sam plik czyta test jednostkowy i test integracyjny, ktory porownuje
# kazda pare z odpowiedzia prawdziwego narzedzia: dpkg --compare-versions
# oraz rpmdev-vercmp. Wlasna implementacja bez takiego porownania predzej czy
# pozniej rozjedzie sie z menedzerem - a rozjazd w te strone oznacza podatnosc
# uznana za naprawiona.
deb	1.0	1.0	0
deb	1.0	1.1	-1
deb	1.1	1.0	1
deb	1.9	1.10	-1
deb	1.10	1.9	1
deb	1.0	1.0-1	-1
deb	1.0-1	1.0-2	-1
deb	1.0-10	1.0-9	1
deb	1.0~rc1	1.0	-1
deb	1.0~rc1	1.0~rc2	-1
deb	1.0~~	1.0~	-1
deb	1.0~	1.0	-1
deb	1:1.0	2.0	1
deb	1:1.0	1:1.0	0
deb	2:1.0	1:2.0	1
deb	0:1.0	1.0	0
deb	1.0+deb12u1	1.0	1
deb	1.0+deb12u1	1.0+deb12u2	-1
deb	2.4.62-1~deb12u1	2.4.62-1	-1
deb	1.2.3-4+b1	1.2.3-4	1
deb	1.0a	1.0	1
deb	1.0a	1.0b	-1
deb	1.0	1.0a	-1
deb	5.10.0-28-amd64	5.10.0-9-amd64	1
deb	1.02	1.2	0
deb	1.0.0	1.0	1
deb	3.0.13+dfsg-1	3.0.13+dfsg-1+deb12u1	-1
deb	9.18.47-1	9.18.47-1	0
deb	1.21.5-1+deb12u1	1.21.5-1+deb12u2	-1
rpm	1.0	1.0	0
rpm	1.0	1.1	-1
rpm	1.9	1.10	-1
rpm	1.0-1	1.0-2	-1
rpm	1.0-10	1.0-9	1
rpm	1:1.0-1	2.0-1	1
rpm	0:1.0-1	1.0-1	0
rpm	1.0~rc1-1	1.0-1	-1
rpm	1.0~rc1-1	1.0~rc2-1	-1
rpm	1.0^20260101-1	1.0-1	1
rpm	1.0-1.fc42	1.0-2.fc42	-1
rpm	2.2.1-1.fc42	2.2.1-1.fc41	1
rpm	1.52.2-1.fc42	1.52.2-1.fc42	0
rpm	0.18.1-1.fc42	0.18.0-1.fc42	1
rpm	6.17.4-200.fc42	6.17.4-100.fc42	1
rpm	1.0.0-1	1.0-1	1
rpm	1.0a-1	1.0-1	1
rpm	1.0a-1	1.0b-1	-1
rpm	1.01-1	1.1-1	0
rpm	20260101-1	20251231-1	1
rpm	1.0-1.el9	1.0-1.el9_4	-1
rpm	4.18.0-553.el8	4.18.0-553.5.1.el8	-1
